Account Number,Account Name,sku,category,quantity,unit price,ext price,date
049773,Dickens-Ebert,IC-59308,Shoes,2,38.08,76.16,2014-02-27 18:37:52
269278,Luettgen-Ritchie,ZC-07383,Shirt,2,20.64,41.28,2014-09-27 15:47:56
305893,Dickinson-Larson,ZC-07383,Shirt,13,45.33,589.29,2014-05-30 08:35:54
979589,Brown Inc,FT-50146,Shirt,20,30.00,600.00,2013-11-13 23:36:52
816921,"Rolfson, Nolan and Mann",FT-50146,Shirt,5,34.57,172.85,2014-04-10 21:39:24
225551,Huels LLC,RU-25060,Shirt,16,74.90,1198.40,2013-12-25 20:53:55
145616,"Wiza, Nolan and Johns",ZC-07383,Shirt,14,25.75,360.50,2013-12-07 23:40:46
191828,Vandervort-Wunsch,GS-95639,Shoes,11,40.98,450.78,2014-03-02 05:34:44
341067,Lesch-Lang,XX-25746,Belt,10,65.41,654.10,2014-05-03 19:29:31
178236,Kris and Sons,AE-95093,Shoes,3,68.79,206.37,2014-03-10 03:33:15
112757,Considine-Legros,IC-59308,Shoes,8,82.52,660.16,2014-02-26 20:45:00
050523,"Stamm, Oberbrunner and Hills",ZC-07383,Shirt,17,62.33,1059.61,2014-01-07 07:13:34
115558,Miller PLC,RU-25060,Shirt,3,97.96,293.88,2014-06-13 04:05:36
602985,"Raynor, Bartell and Jakubowski",IC-59308,Shoes,12,96.40,1156.80,2014-03-07 10:01:10
884468,Turcotte and Sons,XX-25746,Belt,19,28.85,548.15,2014-08-14 20:16:21
206192,Nicolas-Emard,HX-24728,Belt,1,95.05,95.05,2014-04-29 08:52:26
858206,"Conn, Kub and Collier",AE-95093,Shoes,12,95.77,1149.24,2014-08-04 12:49:34
225551,Huels LLC,QS-76400,Shirt,8,82.51,660.08,2014-08-28 11:16:54
957279,Kozey-Roberts,ZC-07383,Shirt,15,79.42,1191.30,2014-06-29 20:38:21
775495,Rippin-Gerlach,FT-50146,Shirt,16,67.50,1080.00,2014-05-22 10:58:42
079480,Kautzer LLC,XX-25746,Belt,3,15.37,46.11,2013-10-09 03:43:24
048242,"Corkery, King and Cassin",AE-95093,Shoes,7,83.78,586.46,2013-10-04 03:35:17
668727,Schaden and Sons,IC-59308,Shoes,1,28.73,28.73,2014-07-16 18:40:13
884576,"Schroeder, Hilpert and Quigley",LK-02338,Shirt,20,33.47,669.40,2013-12-27 18:06:05
071960,Feest-Torphy,LK-02338,Shirt,15,37.69,565.35,2014-09-14 10:15:26
714509,Willms PLC,FT-50146,Shirt,12,58.70,704.40,2014-09-29 12:14:09
702153,Kautzer-Rolfson,HX-24728,Belt,12,41.75,501.00,2013-12-18 18:36:12
084913,Zieme-Romaguera,QS-76400,Shirt,3,86.71,260.13,2013-11-20 13:59:21
600954,"Bartell, Cronin and Abbott",IC-59308,Shoes,9,32.49,292.41,2014-02-17 09:43:32
423621,Beatty and Sons,HX-24728,Belt,4,80.01,320.04,2014-09-25 03:56:16
224745,"Paucek, Cole and Ebert",RU-25060,Shirt,20,34.97,699.40,2014-04-29 18:06:19
222704,Ernser-Dare,HX-24728,Belt,3,50.75,152.25,2014-07-15 08:43:35
455768,Sawayn-Treutel,IC-59308,Shoes,15,10.54,158.10,2014-01-22 10:16:21
555482,"Bergstrom, Medhurst and Zieme",IC-59308,Shoes,16,12.41,198.56,2014-03-27 08:01:56
383015,Bartoletti Inc,FT-50146,Shirt,2,43.50,87.00,2014-01-26 09:31:20
440852,"Bradtke, Daniel and Hagenes",GS-95639,Shoes,19,95.38,1812.22,2014-08-17 00:36:11
852731,"Leuschke, Haley and Green",HX-24728,Belt,10,42.33,423.30,2013-10-05 00:50:13
659793,Fritsch-Paucek,RU-25060,Shirt,17,45.30,770.10,2014-02-15 18:13:59
622744,Nader Group,GS-95639,Shoes,9,64.24,578.16,2014-03-09 05:35:10
785380,Veum Inc,AE-95093,Shoes,1,95.21,95.21,2013-12-01 07:41:14
680569,"Cummerata, Ryan and Moen",RU-25060,Shirt,6,76.65,459.90,2014-03-15 19:52:22
017915,Huel Inc,XX-25746,Belt,2,50.39,100.78,2014-05-14 09:59:11
948283,"Stoltenberg, Muller and Mertz",LK-02338,Shirt,6,79.15,474.90,2013-10-22 07:43:55
352978,Kemmer Group,RU-25060,Shirt,20,84.70,1694.00,2014-07-21 12:56:32
868055,Kuhlman-Lubowitz,QS-76400,Shirt,18,51.18,921.24,2013-11-26 03:37:44
910468,"Lockman, Fisher and Considine",FT-50146,Shirt,1,25.18,25.18,2013-10-14 09:36:20
317545,"Williamson, Olson and Funk",GS-95639,Shoes,2,19.16,38.32,2014-03-27 04:27:43
991976,Hansen-Feeney,AE-95093,Shoes,3,78.25,234.75,2014-08-18 08:05:04
490635,Hessel and Sons,QS-76400,Shirt,4,57.63,230.52,2013-12-24 15:01:04
708467,Homenick-Cremin,HX-24728,Belt,18,26.77,481.86,2014-01-16 01:28:22
910923,McCullough-Glover,RU-25060,Shirt,20,56.85,1137.00,2013-12-19 22:37:45
689693,"Howe, Witting and Luettgen",IC-59308,Shoes,3,81.63,244.89,2013-12-09 17:54:12
039521,Wuckert-Yost,RU-25060,Shirt,1,86.25,86.25,2013-12-05 19:47:09
291673,Kuhlman Inc,IC-59308,Shoes,9,11.56,104.04,2013-10-17 02:34:20
349982,"Miller, Bechtelar and Haley",LK-02338,Shirt,16,81.66,1306.56,2013-12-12 06:31:54
031780,"Little, Stokes and McClure",FT-50146,Shirt,18,56.55,1017.90,2014-01-30 05:36:35
702153,Kautzer-Rolfson,ZC-07383,Shirt,12,94.58,1134.96,2014-08-06 09:58:40
520942,"Graham, Block and Bergstrom",QS-76400,Shirt,2,35.13,70.26,2013-11-22 11:43:50
218356,Bergnaum-Green,IC-59308,Shoes,13,67.18,873.34,2014-07-22 23:30:36
271238,"Runolfsdottir, Rolfson and Pacocha",RU-25060,Shirt,14,60.77,850.78,2014-04-03 22:57:35
346891,"Weimann, Swift and Conroy",LK-02338,Shirt,18,52.24,940.32,2014-02-07 03:15:43
613570,Beier and Sons,QS-76400,Shirt,3,26.14,78.42,2013-10-28 18:08:12
801586,Watsica PLC,LK-02338,Shirt,1,46.88,46.88,2014-04-04 07:02:06
343481,Mills Inc,LK-02338,Shirt,18,68.66,1235.88,2014-03-31 04:40:02
443206,"Wilkinson, Pagac and Cole",RU-25060,Shirt,20,68.56,1371.20,2014-05-07 01:26:30
596296,"Ferry, Howe and Stokes",IC-59308,Shoes,11,50.73,558.03,2014-09-04 00:15:38
651647,Monahan-Sanford,QS-76400,Shirt,11,85.47,940.17,2014-02-08 05:03:00
621565,Parker LLC,ZC-07383,Shirt,3,99.02,297.06,2014-06-07 14:45:19
040033,"Schamberger, Hudson and Kuhic",GS-95639,Shoes,2,26.45,52.90,2014-07-30 20:10:37
558485,Labadie-Zemlak,FT-50146,Shirt,13,28.70,373.10,2014-04-05 01:54:56
091059,"Armstrong, Champlin and Ratke",LK-02338,Shirt,19,10.44,198.36,2014-03-24 12:41:54
292165,Luettgen PLC,GS-95639,Shoes,6,54.15,324.90,2014-09-25 09:19:21
542855,Kuhlman and Sons,RU-25060,Shirt,18,86.20,1551.60,2013-10-28 20:08:42
265520,Pagac-Robel,FT-50146,Shirt,9,80.18,721.62,2013-10-19 23:57:00
731732,Bergstrom-Wisoky,FT-50146,Shirt,14,96.10,1345.40,2013-11-19 11:21:19
104535,Kling and Sons,QS-76400,Shirt,14,39.92,558.88,2014-02-02 01:50:14
461185,"Witting, Anderson and Graham",XX-25746,Belt,7,31.66,221.62,2014-07-27 15:23:05
200079,Cruickshank-Hamill,RU-25060,Shirt,12,57.39,688.68,2014-02-02 06:43:30
944406,Borer Inc,IC-59308,Shoes,10,87.73,877.30,2013-10-11 06:47:49
128883,Tremblay-Kassulke,XX-25746,Belt,20,70.21,1404.20,2013-12-23 22:36:54
853091,Becker PLC,QS-76400,Shirt,4,63.15,252.60,2014-07-12 21:22:24
978504,Casper and Sons,RU-25060,Shirt,19,28.97,550.43,2013-12-26 22:55:14
752355,Bashirian-Lakin,FT-50146,Shirt,10,35.52,355.20,2014-07-07 04:34:20
740721,"Dickens, Jewess and Schinner",LK-02338,Shirt,12,69.96,839.52,2014-04-23 15:52:31
189941,"Brakus, Kuhn and Gusikowski",AE-95093,Shoes,18,57.55,1035.90,2014-08-06 19:30:37
767440,"Bahringer, Okuneva and Legros",XX-25746,Belt,20,16.15,323.00,2014-05-11 11:58:18
374609,"Homenick, Roob and Beatty",AE-95093,Shoes,14,27.96,391.44,2013-12-23 16:05:15
389408,Koch-Ledner,XX-25746,Belt,15,37.72,565.80,2013-10-19 12:42:29
039533,Leannon-Langosh,LK-02338,Shirt,16,68.82,1101.12,2014-05-16 07:26:54
687230,Wunsch-Koelpin,IC-59308,Shoes,16,98.15,1570.40,2014-02-04 17:13:45
384516,"Grant, Waelchi and Wyman",ZC-07383,Shirt,3,15.40,46.20,2014-03-21 13:03:20
426360,Wunsch Inc,ZC-07383,Shirt,8,62.94,503.52,2014-04-27 22:03:51
911360,"Fisher, Wuckert and Smitham",RU-25060,Shirt,14,72.49,1014.86,2014-01-07 01:24:07
951852,Jenkins Ltd,ZC-07383,Shirt,15,80.62,1209.30,2014-01-11 20:19:33
915519,Will-Hoeger,LK-02338,Shirt,14,48.32,676.48,2014-06-05 05:02:49
136057,Conroy LLC,AE-95093,Shoes,3,71.65,214.95,2014-04-08 00:17:32
829783,Hyatt-Rohan,HX-24728,Belt,16,41.60,665.60,2014-01-26 11:29:07
930445,Kuhlman-Abbott,LK-02338,Shirt,8,29.23,233.84,2014-01-11 02:14:29
487807,"Osinski, Littel and Bartoletti",QS-76400,Shirt,3,61.15,183.45,2014-07-30 06:53:12
972195,"Lemke, Aufderhar and Nitzsche",IC-59308,Shoes,8,49.56,396.48,2013-11-17 15:43:00
134966,Weimann-Parisian,QS-76400,Shirt,5,43.17,215.85,2014-09-04 14:35:58
597068,Spencer-Watsica,XX-25746,Belt,6,89.38,536.28,2014-01-09 09:20:23
780349,Douglas Inc,FT-50146,Shirt,6,37.19,223.14,2013-10-03 15:07:03
799421,Schultz Group,IC-59308,Shoes,14,10.68,149.52,2013-11-05 01:14:19
791743,Medhurst and Sons,HX-24728,Belt,20,25.04,500.80,2014-05-16 11:33:03
173693,Halvorson PLC,XX-25746,Belt,17,37.95,645.15,2013-11-26 02:39:40
172247,"Mosciski, Hansen and Grant",QS-76400,Shirt,2,99.92,199.84,2014-05-05 16:24:59
418201,Kuhn Ltd,LK-02338,Shirt,8,43.46,347.68,2013-12-21 23:59:55
710898,"Nikolaus, Lehner and Swift",RU-25060,Shirt,8,67.78,542.24,2013-12-15 06:19:05
399218,Kulas-Bernhard,HX-24728,Belt,19,59.25,1125.75,2014-09-07 06:21:53
631502,"Padberg, Wuckert and Jacobson",RU-25060,Shirt,10,50.83,508.30,2014-06-24 03:24:09
674141,Bahringer-Kassulke,GS-95639,Shoes,7,10.25,71.75,2013-11-30 00:15:28
757632,Breitenberg-Harvey,GS-95639,Shoes,12,16.91,202.92,2013-12-27 16:08:01
337183,"Batz, Nienow and Jenkins",XX-25746,Belt,17,73.40,1247.80,2013-10-29 05:06:47
320821,Lockman LLC,XX-25746,Belt,16,44.90,718.40,2013-12-01 15:03:01
012965,Gaylord Inc,RU-25060,Shirt,2,26.70,53.40,2013-11-16 00:51:24
507817,O'Conner-Abbott,RU-25060,Shirt,11,14.04,154.44,2013-10-26 10:34:56
394424,Russel-Green,RU-25060,Shirt,8,29.13,233.04,2014-09-10 00:00:13
654796,Heaney Group,LK-02338,Shirt,6,77.25,463.50,2014-08-07 09:36:15
455768,Sawayn-Treutel,LK-02338,Shirt,18,41.39,745.02,2013-12-04 02:07:19
920517,Shields and Sons,QS-76400,Shirt,11,90.57,996.27,2014-08-03 03:37:02
254523,Pacocha-Abbott,LK-02338,Shirt,6,18.96,113.76,2014-05-20 07:03:43
400439,Kovacek-Dicki,ZC-07383,Shirt,7,39.57,276.99,2013-11-03 11:00:10
330111,Harber Ltd,IC-59308,Shoes,7,77.44,542.08,2014-03-16 03:12:05
897322,"Hilll, Schultz and Braun",RU-25060,Shirt,20,93.23,1864.60,2014-03-29 08:00:13
726918,"Schmidt, Oberbrunner and Beier",HX-24728,Belt,18,32.67,588.06,2014-05-25 04:13:27
198887,Shanahan-Bartoletti,XX-25746,Belt,18,55.56,1000.08,2014-07-28 03:06:34
645451,Rowe-Miller,XX-25746,Belt,5,26.95,134.75,2014-09-19 10:55:49
873132,Nolan-Wolf,QS-76400,Shirt,5,74.70,373.50,2014-06-05 19:15:25
823932,"Johns, Hermann and Wolf",IC-59308,Shoes,14,86.45,1210.30,2014-04-02 13:57:13
668727,Schaden and Sons,ZC-07383,Shirt,20,58.40,1168.00,2014-09-21 17:41:17
216227,Mueller Inc,AE-95093,Shoes,14,26.23,367.22,2014-03-18 12:07:04
170224,"Grimes, Walker and Schowalter",XX-25746,Belt,18,41.38,744.84,2014-09-30 06:47:11
974584,"Armstrong, McKenzie and Greenholt",IC-59308,Shoes,4,31.26,125.04,2013-11-22 06:31:18
870007,"Gerhold, Denesik and Casper",XX-25746,Belt,8,76.03,608.24,2013-12-25 14:39:19
265759,Lockman-Trantow,ZC-07383,Shirt,11,18.96,208.56,2014-01-02 10:54:39
673552,Schoen-Schultz,FT-50146,Shirt,17,66.32,1127.44,2014-09-16 10:36:40
291673,Kuhlman Inc,XX-25746,Belt,11,19.57,215.27,2014-06-20 02:01:26
159317,"Lemke, Boyle and Torphy",ZC-07383,Shirt,20,13.84,276.80,2014-05-25 13:33:43
825544,"Flatley, Prohaska and VonRueden",LK-02338,Shirt,17,50.68,861.56,2013-10-10 06:27:13
441354,"Kreiger, Johnson and Conn",ZC-07383,Shirt,2,66.94,133.88,2014-04-23 15:12:29
271303,Effertz-Hoppe,QS-76400,Shirt,14,18.30,256.20,2014-08-09 02:55:43
041711,Koepp-McLaughlin,QS-76400,Shirt,18,72.13,1298.34,2014-02-23 11:01:10
180324,Reynolds Group,QS-76400,Shirt,13,88.13,1145.69,2014-02-11 13:15:47
751708,"Toy, Macejkovic and Fadel",QS-76400,Shirt,9,38.71,348.39,2014-07-26 10:52:41
248672,Waelchi-Rau,AE-95093,Shoes,11,48.59,534.49,2014-03-19 22:06:05
831504,Grady-Boyer,LK-02338,Shirt,12,48.23,578.76,2013-10-07 23:03:08
166594,"Jacobs, Stiedemann and Beatty",GS-95639,Shoes,9,23.11,207.99,2014-01-03 23:14:17
302621,Cole Group,RU-25060,Shirt,14,74.46,1042.44,2014-03-05 06:27:06
278424,Paucek-Wilkinson,RU-25060,Shirt,12,72.01,864.12,2014-02-20 18:00:25
391072,Ledner and Sons,XX-25746,Belt,13,39.41,512.33,2013-11-01 07:02:51
124671,Schultz-Mills,LK-02338,Shirt,13,29.78,387.14,2013-10-24 04:53:41
826893,"Schinner, Cruickshank and Ziemann",FT-50146,Shirt,5,10.88,54.40,2014-05-12 20:32:40
482888,Haag Inc,AE-95093,Shoes,19,18.92,359.48,2014-01-09 09:47:03
072225,"Ledner, Koss and Ziemann",FT-50146,Shirt,16,25.35,405.60,2014-09-25 21:24:40
685048,Schultz Group,XX-25746,Belt,13,94.05,1222.65,2014-04-25 11:25:08
727064,"Bashirian, Beier and Watsica",GS-95639,Shoes,7,64.53,451.71,2014-06-16 10:21:28
078536,"Effertz, Stroman and Stroman",LK-02338,Shirt,13,33.15,430.95,2014-02-25 13:46:51
788245,"Sipes, Stehr and Pacocha",ZC-07383,Shirt,2,92.54,185.08,2014-02-20 02:27:25
254523,Pacocha-Abbott,HX-24728,Belt,4,44.87,179.48,2014-06-24 16:37:56
051256,"Kohler, Legros and Jerde",FT-50146,Shirt,10,15.70,157.00,2014-09-14 17:40:07
098622,"DuBuque, Lind and Towne",LK-02338,Shirt,6,61.50,369.00,2014-01-08 19:49:58
480628,Daugherty-Olson,QS-76400,Shirt,4,83.14,332.56,2014-08-17 19:00:11
954905,Heaney and Sons,RU-25060,Shirt,10,21.43,214.30,2013-11-08 09:35:55
957040,"Bernhard, Price and Bogan",RU-25060,Shirt,2,40.34,80.68,2014-05-19 06:33:35
848530,McKenzie-Wiza,QS-76400,Shirt,11,20.47,225.17,2014-02-19 22:54:02
577407,"Boehm, Gerlach and McClure",QS-76400,Shirt,20,17.76,355.20,2014-02-13 11:16:50
647742,"Swaniawski, Hettinger and Dickinson",XX-25746,Belt,13,31.42,408.46,2014-08-10 19:58:12
686172,Feeney-Kessler,IC-59308,Shoes,18,69.04,1242.72,2014-07-09 07:33:35
433327,Zulauf-Will,HX-24728,Belt,10,16.34,163.40,2014-05-05 07:36:02
707783,Sanford-Jacobs,GS-95639,Shoes,2,97.77,195.54,2014-01-08 00:50:01
957040,"Bernhard, Price and Bogan",HX-24728,Belt,11,19.87,218.57,2014-02-05 03:50:45
426224,"Klein, Klein and Schamberger",ZC-07383,Shirt,4,50.68,202.72,2013-11-29 16:14:11
326369,Schmitt-Bruen,GS-95639,Shoes,8,46.60,372.80,2014-09-07 02:33:37
243642,Paucek-Stehr,QS-76400,Shirt,20,68.91,1378.20,2014-03-06 13:54:24
727064,"Bashirian, Beier and Watsica",XX-25746,Belt,15,65.94,989.10,2014-02-17 07:14:33
527078,Kuvalis-Roberts,GS-95639,Shoes,2,62.12,124.24,2014-01-02 19:04:33
314575,"Mraz, Romaguera and Schiller",HX-24728,Belt,5,73.59,367.95,2014-05-17 22:04:47
431043,Grimes-Schmidt,FT-50146,Shirt,9,39.08,351.72,2014-01-09 04:43:45
040995,"McLaughlin, McKenzie and Kulas",ZC-07383,Shirt,19,51.38,976.22,2014-03-02 22:55:33
277918,"Gerhold, Wisoky and Streich",IC-59308,Shoes,12,59.11,709.32,2014-06-21 13:45:25
534393,Heathcote-Schaden,ZC-07383,Shirt,7,61.31,429.17,2014-05-05 13:18:04
357988,Dietrich-Krajcik,IC-59308,Shoes,15,42.89,643.35,2013-10-18 06:35:35
924946,"Bednar, Flatley and Kozey",RU-25060,Shirt,20,34.19,683.80,2014-05-31 23:36:46
399553,Ortiz-Jenkins,LK-02338,Shirt,10,98.74,987.40,2014-07-13 00:23:16
734285,Lang-Koss,FT-50146,Shirt,1,95.13,95.13,2014-06-27 18:55:55
943137,Walter-Witting,ZC-07383,Shirt,6,16.12,96.72,2014-06-05 12:07:23
369229,Bartell-Kulas,FT-50146,Shirt,5,90.94,454.70,2014-01-11 20:11:47
420556,Beer-Schaden,IC-59308,Shoes,6,76.22,457.32,2014-08-11 09:39:24
095951,Russel Ltd,GS-95639,Shoes,6,33.65,201.90,2014-06-28 13:35:26
206192,Nicolas-Emard,LK-02338,Shirt,1,41.73,41.73,2013-10-29 00:29:16
194257,Kuhn PLC,ZC-07383,Shirt,14,42.27,591.78,2014-09-30 19:57:34
508938,Stark-Kuhic,QS-76400,Shirt,14,28.91,404.74,2014-08-25 20:07:38
087908,"Torphy, Turner and McClure",FT-50146,Shirt,7,64.95,454.65,2014-06-07 11:09:23
644131,Batz-Dare,XX-25746,Belt,15,52.67,790.05,2014-08-21 09:54:32
872888,"Hettinger, Jewess and Hegmann",RU-25060,Shirt,3,58.11,174.33,2014-09-24 14:37:09
803666,Fritsch-Glover,RU-25060,Shirt,13,23.34,303.42,2014-02-27 16:28:34
786452,"Kuphal, Flatley and Casper",LK-02338,Shirt,6,98.35,590.10,2014-08-08 19:31:23
140484,Aufderhar-O'Hara,AE-95093,Shoes,11,60.87,669.57,2014-06-27 21:35:51
400974,"Schimmel, Schaefer and Treutel",GS-95639,Shoes,8,81.20,649.60,2013-12-16 22:26:09
172655,Heidenreich-VonRueden,FT-50146,Shirt,8,45.12,360.96,2014-05-16 13:21:02
194257,Kuhn PLC,AE-95093,Shoes,5,69.26,346.30,2014-09-16 19:25:33
935914,"Parker, Morar and Fritsch",LK-02338,Shirt,15,62.59,938.85,2014-02-17 16:22:52
229695,O'Kon-Bergnaum,FT-50146,Shirt,15,51.24,768.60,2014-01-05 11:43:20
004450,Beier-Bosco,HX-24728,Belt,4,61.98,247.92,2014-04-16 13:40:01
556347,"O'Connell, Huel and Kunde",QS-76400,Shirt,2,20.23,40.46,2014-09-17 21:03:01
570110,Pollich Inc,AE-95093,Shoes,10,12.54,125.40,2014-02-28 20:23:09
174018,"Sanford, Mante and Kshlerin",ZC-07383,Shirt,14,59.77,836.78,2014-04-22 19:50:23
666731,Quigley-Terry,IC-59308,Shoes,19,38.97,740.43,2014-03-17 08:44:30
428333,Corkery-Torphy,IC-59308,Shoes,5,61.69,308.45,2013-11-15 07:06:31
881248,Runolfsdottir-VonRueden,XX-25746,Belt,13,29.09,378.17,2014-07-25 03:53:14
959810,"Price, Bernhard and Bogisich",AE-95093,Shoes,3,85.24,255.72,2014-09-12 11:53:14
794594,Swift Group,GS-95639,Shoes,4,96.78,387.12,2014-07-16 14:23:41
070851,Conroy-Schaden,XX-25746,Belt,15,33.26,498.90,2014-05-26 04:29:01
513158,Rogahn-D'Amore,GS-95639,Shoes,10,88.08,880.80,2014-03-15 20:57:57
622744,Nader Group,GS-95639,Shoes,18,42.62,767.16,2014-02-09 05:08:54
105125,Becker LLC,FT-50146,Shirt,2,77.35,154.70,2014-06-07 09:34:41
361615,"Kreiger, Satterfield and Mertz",RU-25060,Shirt,10,92.49,924.90,2013-10-17 23:14:46
910373,"Harris, Gleason and Medhurst",XX-25746,Belt,12,42.78,513.36,2014-06-04 01:21:33
943137,Walter-Witting,HX-24728,Belt,17,24.41,414.97,2013-11-21 04:37:41
487807,"Osinski, Littel and Bartoletti",XX-25746,Belt,4,31.25,125.00,2014-05-06 14:18:58
335539,Price Group,HX-24728,Belt,3,91.77,275.31,2014-04-28 07:50:05
722921,Thompson-Gislason,XX-25746,Belt,6,90.73,544.38,2014-03-07 03:00:31
403847,Ankunding-McCullough,FT-50146,Shirt,2,66.15,132.30,2014-04-14 12:10:06
576212,Feest Ltd,LK-02338,Shirt,5,47.18,235.90,2014-08-02 18:22:53
200079,Cruickshank-Hamill,IC-59308,Shoes,8,99.08,792.64,2014-04-10 13:59:44
365614,"Kertzmann, Hodkiewicz and Kohler",XX-25746,Belt,20,53.87,1077.40,2013-12-28 09:40:26
434955,Ledner-Kling,HX-24728,Belt,6,73.81,442.86,2014-03-13 02:18:30
317998,"Wilderman, Stamm and Kshlerin",RU-25060,Shirt,12,84.47,1013.64,2014-06-08 17:04:40
573320,Hickle Ltd,ZC-07383,Shirt,8,46.52,372.16,2014-03-10 18:40:33
